Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
64,0.011111111,0,0,0,0,1,0.00026264,0.00026264,0.011111111,0.011111111
100,0.011111111,0,0,0,0,1,0.00026264,0.00013132,0.011111111,0.011111111
215,0.088888889,0.077777778,0,0,0,1,0.00026264,0.000183848,0.088888889,0.088888889
219,0.011111111,0,0,0,0,1,0.00026264,0.00026264,0.011111111,0.011111111
244,0.011111111,0,0,0,0,1,0.00026264,0.00026264,0.011111111,0.011111111
261,0.022222222,0.011111111,0,0,1,0,0.287130663,0.376718465,0.022222222,0.022222222
368,0.011111111,0,0,0,0,1,0.00026264,0.00026264,0.011111111,0.011111111
423,0.022222222,0.011111111,0,0,0,1,0.00026264,0.00026264,0.022222222,0.022222222
438,0.022222222,0.011111111,0,0,0,1,0.00026264,0.00026264,0.022222222,0.022222222
506,0.044444444,0.033333333,0,0,0,1,0.00026264,0.00026264,0.044444444,0.044444444
561,0.011111111,0,0,0,0,1,0.00026264,0.00026264,0.011111111,0.011111111
603,0.022222222,0.011111111,0,0,0,1,0.00026264,0.000191143,0.022222222,0.022222222
615,0.011111111,0,0,0,0,1,0.00026264,0.00026264,0.011111111,0.011111111
678,0.022222222,0.011111111,0,0,0,1,0.00026264,0.00026264,0.022222222,0.022222222
803,0.033333333,0.022222222,0,0,0,1,0.00026264,0.00026264,0.033333333,0.033333333
822,0.011111111,0,0,0,0,1,0.00026264,0.00026264,0.011111111,0.011111111
879,0.033333333,0.033333333,0,0,0,1,0.00026264,0.00026264,0.044444444,0.044444444
901,0.022222222,0.011111111,0,0,0,1,0.00026264,0.00026264,0.022222222,0.022222222
914,0.033333333,0.022222222,0,0,0,1,0.00026264,0.00026264,0.033333333,0.033333333
922,0.077777778,0.077777778,0.285714286,0,0.428571429,0.571428571,0.004389832,0.000407091,0.025925926,0.033333333
1118,0.033333333,0.022222222,0,0,0,1,0.00026264,0.00026264,0.033333333,0.033333333
1148,0.044444444,0.033333333,0,0,0,1,0.00026264,0.00026264,0.044444444,0.044444444
1157,0.033333333,0.022222222,0,0,0,1,0.00026264,0.00026264,0.033333333,0.033333333
1176,0.055555556,0.055555556,0,0,0,1,0.00026264,0.00026264,0.066666667,0.066666667
1230,0.022222222,0.011111111,0,0,0,1,0.00026264,0.00026264,0.022222222,0.022222222
1232,0.011111111,0,0,0,0,1,0.00026264,0.00026264,0.011111111,0.011111111
1249,0.033333333,0.022222222,0,0,0,1,0.00026264,0.00026264,0.033333333,0.033333333
1297,0.022222222,0.011111111,0,0,0,1,0.00026264,0.00026264,0.022222222,0.022222222
1301,0.033333333,0.022222222,0,0,0,1,0.00026264,0.00026264,0.033333333,0.033333333
1303,0.033333333,0.022222222,0,0,0,1,0.00026264,0.000189684,0.033333333,0.033333333
1315,0.011111111,0,0,0,0,1,0.00026264,0.00026264,0.011111111,0.011111111
1338,0.055555556,0.066666667,0,0,0,1,0.00026264,0.00026264,0.077777778,0.077777778
