Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
115,0.111111111,0.1,0,0,0,1,0.000259841,0.000259841,0.111111111,0.111111111
197,0.022222222,0.011111111,0,0,0,1,0.000259841,0.000259841,0.022222222,0.022222222
202,0.011111111,0,0,0,0,1,0.000259841,0.000259841,0.011111111,0.011111111
225,0.011111111,0,0,0,1,0,0.203585813,0.381105192,0.011111111,0.011111111
248,0.033333333,0.022222222,0,0,1,0,0.191676411,0.381105192,0.033333333,0.033333333
280,0.022222222,0.011111111,0,0,0,1,0.000259841,0.000191994,0.022222222,0.022222222
376,0.011111111,0,0,0,0,1,0.000259841,0.000129921,0.011111111,0.011111111
400,0.011111111,0,0,0,0,1,0.000259841,0.000160236,0.011111111,0.011111111
420,0.011111111,0,0,0,0,1,0.000259841,0.000259841,0.011111111,0.011111111
428,0.122222222,0.122222222,0.272727273,0,0.454545455,0.545454545,0.190109488,0.223123006,0.033333333,0.055555556
430,0.033333333,0.022222222,0,0,0,1,0.000259841,0.000259841,0.033333333,0.033333333
434,0.033333333,0.022222222,0,0,0,1,0.000259841,0.000259841,0.033333333,0.033333333
465,0.044444444,0.033333333,0,0,0,1,0.000259841,0.000183333,0.044444444,0.044444444
550,0.011111111,0,0,0,0,1,0.000259841,0.000259841,0.011111111,0.011111111
584,0.011111111,0,0,0,0,1,0.000259841,0.000259841,0.011111111,0.011111111
602,0.022222222,0.011111111,0,0,1,0,0.257697804,0.381105192,0.022222222,0.022222222
612,0.011111111,0,0,0,0,1,0.000259841,0.000177558,0.011111111,0.011111111
620,0.033333333,0.022222222,0,0,0,1,0.000259841,0.000259841,0.033333333,0.033333333
671,0.033333333,0.022222222,0,0,0,1,0.000259841,0.000134251,0.033333333,0.033333333
722,0.022222222,0.011111111,0,0,0,1,0.000259841,0.000259841,0.022222222,0.022222222
775,0.011111111,0,0,0,0,1,0.000259841,0.000259841,0.011111111,0.011111111
829,0.044444444,0.055555556,0,0,0,1,0.000259841,0.000259841,0.066666667,0.066666667
887,0.022222222,0.011111111,0,0,1,0,0.204625179,0.381105192,0.022222222,0.022222222
890,0.122222222,0.711111111,0.090909091,0,0,1,0.000259841,0.000245406,0.088888889,0.144444444
904,0.044444444,0.033333333,0,0,0,1,0.000259841,0.000259841,0.044444444,0.044444444
907,0.011111111,0,0,0,0,1,0.000259841,0.000259841,0.011111111,0.011111111
912,0.022222222,0.011111111,0,0,0,1,0.000259841,0.000259841,0.022222222,0.022222222
930,0.011111111,0,0,0,0,1,0.000259841,0.000259841,0.011111111,0.011111111
946,0.011111111,0,0,0,0,1,0.000259841,0.000259841,0.011111111,0.011111111
1041,0.011111111,0,0,0,0,1,0.000259841,0.000129921,0.011111111,0.011111111
1103,0.033333333,0.022222222,0,0,0,1,0.000259841,0.00019055,0.033333333,0.033333333
1111,0.022222222,0.011111111,0,0,0,1,0.000259841,0.000259841,0.022222222,0.022222222
1112,0.044444444,0.066666667,0,0,0,1,0.000259841,0.000259841,0.077777778,0.077777778
1119,0.011111111,0,0,0,0,1,0.000259841,0.000129921,0.011111111,0.011111111
1185,0.011111111,0,0,0,0,1,0.000259841,0.000259841,0.011111111,0.011111111
1235,0.011111111,0,0,0,0,1,0.000259841,0.000129921,0.011111111,0.011111111
1294,0.022222222,0.011111111,0,0,0,1,0.000259841,0.000161679,0.022222222,0.022222222
1322,0.011111111,0,0,0,0,1,0.000259841,0.000173228,0.011111111,0.011111111
1343,0.022222222,0.011111111,0,0,0,1,0.000259841,0.000259841,0.022222222,0.022222222
1354,0.022222222,0.011111111,0,0,0,1,0.000259841,0.000259841,0.022222222,0.022222222
1418,0.011111111,0,0,0,0,1,0.000259841,0.000181889,0.011111111,0.011111111
1425,0.022222222,0.011111111,0,0,1,0,0.055671041,0.381105192,0.022222222,0.022222222
1448,0.044444444,0.088888889,0,0,0,1,0.000259841,0.000259841,0.1,0.1
1452,0.011111111,0,0,0,0,1,0.000259841,0.000129921,0.011111111,0.011111111
1561,0.111111111,0.1,0,0,0,1,0.000259841,0.000259841,0.111111111,0.111111111
1605,0.022222222,0.011111111,0,0,0,1,0.000259841,0.000259841,0.022222222,0.022222222
1630,0.1,0.088888889,0.444444444,0.111111111,0.111111111,0.888888889,0.205390267,0.384512003,0.033333333,0.055555556
1682,0.033333333,0.022222222,0,0,0,1,0.000259841,0.000170341,0.033333333,0.033333333
1725,0.055555556,0.044444444,0,0,0,1,0.000259841,0.000259841,0.055555556,0.055555556
