Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
64,0.022222222,0.011111111,0,0,0,1,0.000239923,0.00017861,0.022222222,0.022222222
78,0.055555556,0.044444444,0.6,0,0,1,0.303214971,0.36269727,0.027777778,0.033333333
83,0.022222222,0.011111111,0,0,1,0,0.396233205,0.356293986,0.022222222,0.022222222
188,0.033333333,0.022222222,0,0,0,1,0.000239923,0.000239923,0.033333333,0.033333333
258,0.011111111,0,0,0,0,1,0.000239923,0.000158616,0.011111111,0.011111111
268,0.011111111,0,0,0,1,0,0.166146833,0.356293986,0.011111111,0.011111111
322,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
350,0.033333333,0.022222222,0,0,0,1,0.000239923,0.00016528,0.033333333,0.033333333
370,0.044444444,0.033333333,0,0,0,1,0.000239923,0.000239923,0.044444444,0.044444444
424,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
427,0.1,0.1,0.444444444,0,0.333333333,0.666666667,0.421531776,0.377492536,0.027777778,0.044444444
433,0.011111111,0,0,0,1,0,0.438099808,0.356293986,0.011111111,0.011111111
440,0.044444444,0.033333333,0,0,0,1,0.000239923,0.000239923,0.044444444,0.044444444
470,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
472,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
599,0.055555556,0.044444444,0.4,0,0,1,0.43821977,0.374078961,0.055555556,0.055555556
768,0.033333333,0.022222222,0,0,0,1,0.000239923,0.000239923,0.033333333,0.033333333
769,0.166666667,0.255555556,0,0,0,1,0.000239923,0.000239923,0.266666667,0.266666667
812,0.044444444,0.033333333,0.25,0,0,1,0.181501919,0.202845756,0.044444444,0.044444444
813,0.055555556,0.044444444,0,0,0,1,0.000239923,0.000167946,0.055555556,0.055555556
877,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
945,0.022222222,0.011111111,0,0,1,0,0.438159789,0.356293986,0.022222222,0.022222222
946,0.044444444,0.033333333,0.5,0,0,1,0.134267035,0.345334826,0.044444444,0.044444444
950,0.011111111,0,0,0,1,0,0.261756238,0.356293986,0.011111111,0.011111111
1081,0.022222222,0.022222222,0,0,1,0,0.429822457,0.356293986,0.033333333,0.033333333
1146,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
1173,0.144444444,0.188888889,0.230769231,0.076923077,0.230769231,0.769230769,0.409124465,0.387218757,0.048148148,0.077777778
1293,0.022222222,0.011111111,0,0,0,1,0.000239923,0.000127959,0.022222222,0.022222222
1336,0.033333333,0.022222222,0,0,0,1,0.000239923,0.000169279,0.033333333,0.033333333
1370,0.022222222,0.011111111,0,0,1,0,0.105206334,0.356293986,0.022222222,0.022222222
1397,0.011111111,0,0,0,0,1,0.000239923,0.000141288,0.011111111,0.011111111
1471,0.011111111,0,0,0,1,0,0.395513436,0.356293986,0.011111111,0.011111111
1500,0.166666667,0.255555556,0,0,0,1,0.000239923,0.000239923,0.266666667,0.266666667
1503,0.055555556,0.133333333,0,0,1,0,0.397192898,0.356293986,0.144444444,0.144444444
1581,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
1638,0.166666667,0.155555556,0.333333333,0,0.066666667,0.933333333,0.338787588,0.165848262,0.027777778,0.066666667
1699,0.011111111,0,0,0,1,0,0.441338772,0.356293986,0.011111111,0.011111111
1712,0.022222222,0.022222222,0,0,1,0,0.153850768,0.356293986,0.033333333,0.033333333
1759,0.011111111,0,0,0,0,1,0.000239923,0.000119962,0.011111111,0.011111111
1781,0.022222222,0.011111111,0,0,0,1,0.000239923,0.000122627,0.022222222,0.022222222
1879,0.011111111,0,0,0,0,1,0.000239923,0.000154617,0.011111111,0.011111111
2046,0.033333333,0.066666667,0,0,0.333333333,0.666666667,0.040826935,0.000153284,0.077777778,0.077777778
2047,0.155555556,0.211111111,0.142857143,0,0.785714286,0.214285714,0.093938511,0.217105193,0.074074074,0.177777778
2148,0.066666667,0.055555556,0,0,0,1,0.000239923,0.000239923,0.066666667,0.066666667
2158,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
2221,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
2231,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
2261,0.055555556,0.044444444,0,0,0,1,0.000239923,0.000239923,0.055555556,0.055555556
2286,0.011111111,0,0,0,0,1,0.000239923,0.000174611,0.011111111,0.011111111
2337,0.044444444,0.033333333,0,0,0,1,0.000239923,0.000239923,0.044444444,0.044444444
2344,0.044444444,0.033333333,0,0,0,1,0.000239923,0.000239923,0.044444444,0.044444444
2369,0.011111111,0,0,0,1,0,0.163867562,0.356293986,0.011111111,0.011111111
2458,0.022222222,0.011111111,0,0,0,1,0.000239923,0.000239923,0.022222222,0.022222222
2466,0.033333333,0.022222222,0,0,0,1,0.000239923,0.000239923,0.033333333,0.033333333
2571,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
2688,0.1,0.088888889,0,0,0.111111111,0.888888889,0.012569311,0.000174611,0.1,0.1
2715,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
2730,0.033333333,0.022222222,0.666666667,0,0,1,0.435660589,0.3672918,0.033333333,0.033333333
2733,0.044444444,0.033333333,0.5,0,0,1,0.423674424,0.370304169,0.044444444,0.044444444
2735,0.077777778,0.1,0.285714286,0,0.428571429,0.571428571,0.263795585,0.242966251,0.02962963,0.055555556
2745,0.011111111,0,0,0,1,0,0.406429942,0.356293986,0.011111111,0.011111111
2771,0.033333333,0.055555556,0,0,0,1,0.000239923,0.000239923,0.066666667,0.066666667
2861,0.011111111,0,0,0,0,1,0.000239923,0.000177277,0.011111111,0.011111111
2891,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
3112,0.011111111,0,0,0,0,1,0.000239923,0.000169279,0.011111111,0.011111111
3139,0.022222222,0.011111111,0,0,0,1,0.000239923,0.000239923,0.022222222,0.022222222
3168,0.033333333,0.055555556,0,0,0,1,0.000239923,0.000239923,0.066666667,0.066666667
3235,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
3246,0.022222222,0.011111111,0,0,1,0,0.415966891,0.356293986,0.022222222,0.022222222
3250,0.111111111,0.1,0.2,0.1,0.1,0.9,0.429726488,0.391336106,0.111111111,0.111111111
3252,0.1,0.088888889,0.333333333,0.111111111,0.222222222,0.777777778,0.08423971,0.189773939,0.025,0.066666667
3255,0.011111111,0,0,0,0,1,0.000239923,0.000239923,0.011111111,0.011111111
3285,0.044444444,0.033333333,0,0,0,1,0.000239923,0.000143954,0.044444444,0.044444444
