Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
81,0.0375,0.025,0,0,0,1,0.000239521,0.000239521,0.0375,0.0375
87,0.0125,0,0,0,0,1,0.000239521,0.00011976,0.0125,0.0125
255,0.1375,0.1375,0.272727273,0.181818182,0.181818182,0.818181818,0.404953729,0.359350299,0.045833333,0.1
260,0.0125,0,0,0,0,1,0.000239521,0.00011976,0.0125,0.0125
426,0.0125,0,0,0,0,1,0.005988024,0.00011976,0.0125,0.0125
427,0.05,0.0375,0.5,0,0.25,0.75,0.394700599,0.327449102,0.025,0.0375
498,0.025,0.0125,0,0,0.5,0.5,0.091616766,0.000169162,0.025,0.025
590,0.0125,0,0,0,1,0,0.424790419,0.315669162,0.0125,0.0125
603,0.0125,0,0,0,1,0,0.321676647,0.315669162,0.0125,0.0125
621,0.025,0.0125,0,0,0,1,0.000239521,0.000239521,0.025,0.025
646,0.025,0.0125,0,0,0,1,0.000239521,0.000146707,0.025,0.025
699,0.0375,0.025,0,0,0,1,0.000239521,0.000239521,0.0375,0.0375
779,0.025,0.0125,0,0,1,0,0.364011976,0.315669162,0.025,0.025
872,0.025,0.0125,0,0,0,1,0.000239521,0.000239521,0.025,0.025
951,0.1,0.15,0.25,0,0.25,0.75,0.409116766,0.336047904,0.05,0.075
966,0.025,0.025,0,0,1,0,0.074011976,0.315669162,0.0375,0.0375
1116,0.0125,0,0,0,1,0,0.445389222,0.315669162,0.0125,0.0125
1120,0.0375,0.025,0.666666667,0,0,1,0.444830339,0.328408683,0.0375,0.0375
1122,0.0625,0.05,0.4,0,0.2,0.8,0.435520958,0.332363772,0.03125,0.05
1127,0.025,0.0125,0,0,0.5,0.5,0.323353293,0.009700599,0.025,0.025
1136,0.0375,0.025,0,0,0,1,0.000239521,0.000239521,0.0375,0.0375
1236,0.0125,0,0,0,0,1,0.000239521,0.000239521,0.0125,0.0125
1289,0.05,0.0375,0,0.25,0,1,0.000329341,0.000247006,0.05,0.05
1462,0.0125,0,0,0,0,1,0.000239521,0.000239521,0.0125,0.0125
1482,0.025,0.0125,0,0,0,1,0.000239521,0.000239521,0.025,0.025
1484,0.05,0.0375,0,0,0,1,0.000239521,0.000239521,0.05,0.05
1524,0.025,0.0125,0,0,0,1,0.000239521,0.000239521,0.025,0.025
1591,0.0125,0,0,0,0,1,0.000239521,0.000239521,0.0125,0.0125
1594,0.0125,0,0,0,0,1,0.000239521,0.000181138,0.0125,0.0125
1595,0.0125,0,0,0,1,0,0.12491018,0.315669162,0.0125,0.0125
1619,0.1125,0.1125,0,0,0,1,0.000239521,0.000239521,0.125,0.125
1645,0.025,0.0125,0,0,1,0,0.449041916,0.315669162,0.025,0.025
1656,0.0375,0.025,0.666666667,0,0,1,0.412654691,0.328315868,0.0375,0.0375
1675,0.025,0.0125,0,0,0,1,0.000239521,0.000239521,0.025,0.025
1814,0.1375,0.15,0,0,0.727272727,0.272727273,0.270440936,0.000199102,0.1625,0.1625
1868,0.025,0.025,0,0,1,0,0.373053892,0.315669162,0.0375,0.0375
1989,0.025,0.0125,0,0,1,0,0.449041916,0.315669162,0.025,0.025
2007,0.025,0.0125,0,0,0,1,0.000239521,0.000239521,0.025,0.025
2034,0.0125,0,0,0,1,0,0.425508982,0.315669162,0.0125,0.0125
2041,0.0125,0,0,0,0,1,0.000239521,0.000239521,0.0125,0.0125
2127,0.0125,0,0,0,0,1,0.000239521,0.000239521,0.0125,0.0125
2191,0.0375,0.025,0,0,0,1,0.000239521,0.000239521,0.0375,0.0375
2339,0.1125,0.1,0,0,0,1,0.000239521,0.000239521,0.1125,0.1125
2347,0.0375,0.025,0,0,0,1,0.000239521,0.000239521,0.0375,0.0375
2381,0.0625,0.05,0,0,1,0,0.278946108,0.315669162,0.0625,0.0625
2525,0.025,0.0125,0,0,1,0,0.223892216,0.315669162,0.025,0.025
2534,0.025,0.0125,0.5,0,0,1,0.000299401,0.200751497,0.025,0.025
2538,0.0125,0,0,0,0,1,0.000239521,0.00011976,0.0125,0.0125
2542,0.0125,0,0,0,1,0,0.414610778,0.315669162,0.0125,0.0125
2548,0.0125,0,0,0,1,0,0.251497006,0.315669162,0.0125,0.0125
2577,0.0625,0.0625,0.2,0,0.4,0.6,0.064191617,0.257510479,0.03125,0.05
2600,0.025,0.025,0,0,0,1,0.000239521,0.000239521,0.0375,0.0375
2677,0.025,0.0125,0,0,0,1,0.000239521,0.000185629,0.025,0.025
2704,0.025,0.0125,0,0,1,0,0.174730539,0.315669162,0.025,0.025
2742,0.0125,0,0,0,1,0,0.449101796,0.315669162,0.0125,0.0125
2791,0.0125,0,0,0,0,1,0.000239521,0.000239521,0.0125,0.0125
2905,0.2625,0.25,0.19047619,0.047619048,0.238095238,0.761904762,0.323142287,0.36225,0.065625,0.175
2908,0.0125,0,0,0,1,0,0.18491018,0.315669162,0.0125,0.0125
2920,0.0125,0,0,0,0,1,0.000239521,0.000239521,0.0125,0.0125
2957,0.025,0.0125,0,0,0,1,0.000239521,0.000239521,0.025,0.025
3038,0.0125,0,0,0,1,0,0.44742515,0.315669162,0.0125,0.0125
3077,0.15,0.2375,0.25,0,0.416666667,0.583333333,0.229371257,0.319724551,0.04375,0.0875
3082,0.025,0.0125,0,0,1,0,0.453652695,0.315669162,0.025,0.025
3085,0.025,0.075,0,0,0.5,0.5,0.07251497,0.000178144,0.0875,0.0875
3103,0.0125,0,0,0,0,1,0.000239521,0.00011976,0.0125,0.0125
3166,0.0625,0.05,0,0,0,1,0.000239521,0.000239521,0.0625,0.0625
3234,0.025,0.0125,0,0,0,1,0.000239521,0.000239521,0.025,0.025
3255,0.0875,0.075,0.428571429,0,0,1,0.433105218,0.344700599,0.04375,0.0625
