Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
14,0.025,0.016666667,0,0,0,1,0.000241926,0.000241926,0.025,0.025
77,0.008333333,0,0,0,1,0,0.138744405,0.392461997,0.008333333,0.008333333
85,0.041666667,0.033333333,0.4,0,0,1,0.263578082,0.396909399,0.041666667,0.041666667
104,0.008333333,0,0,0,1,0,0.224507076,0.392461997,0.008333333,0.008333333
107,0.041666667,0.033333333,0,0,0,1,0.000241926,0.000241926,0.041666667,0.041666667
115,0.008333333,0,0,0,1,0,0.247731946,0.392461997,0.008333333,0.008333333
172,0.016666667,0.008333333,0,0,1,0,0.191423733,0.392461997,0.016666667,0.016666667
229,0.025,0.016666667,0,0,0,1,0.000241926,0.000241926,0.025,0.025
256,0.033333333,0.025,0.5,0,0.25,0.75,0.281480585,0.396269304,0.016666667,0.025
259,0.016666667,0.008333333,0,0,1,0,0.136748518,0.392461997,0.016666667,0.016666667
263,0.191666667,0.183333333,0.304347826,0,0.173913043,0.826086957,0.209281533,0.284580259,0.023958333,0.058333333
341,0.008333333,0,0,0,0,1,0.000241926,0.000241926,0.008333333,0.008333333
421,0.041666667,0.033333333,0,0,0,1,0.000241926,0.000241926,0.041666667,0.041666667
422,0.008333333,0,0,0,0,1,0.000241926,0.000179428,0.008333333,0.008333333
424,0.058333333,0.05,0,0,0,1,0.000241926,0.000241926,0.058333333,0.058333333
425,0.025,0.016666667,0,0,0,1,0.000241926,0.000241926,0.025,0.025
426,0.025,0.025,0,0,1,0,0.141244305,0.392461997,0.033333333,0.033333333
429,0.008333333,0,0,0,0,1,0.187976291,0.009676021,0.008333333,0.008333333
439,0.008333333,0,0,0,1,0,0.257892827,0.392461997,0.008333333,0.008333333
536,0.016666667,0.008333333,0,0,0,1,0.000241926,0.000241926,0.016666667,0.016666667
582,0.008333333,0,0,0,0,1,0.000241926,0.000190517,0.008333333,0.008333333
606,0.008333333,0,0,0,1,0,0.311600339,0.392461997,0.008333333,0.008333333
615,0.033333333,0.058333333,0,0,1,0,0.240111286,0.392461997,0.066666667,0.066666667
655,0.016666667,0.008333333,0,0,1,0,0.241199952,0.392461997,0.016666667,0.016666667
682,0.016666667,0.041666667,0,0,0,1,0.000241926,0.000241926,0.05,0.05
688,0.008333333,0,0,0,0,1,0.000241926,0.000241926,0.008333333,0.008333333
768,0.008333333,0,0,0,1,0,0.278456514,0.392461997,0.008333333,0.008333333
769,0.016666667,0.008333333,0,0,1,0,0.276460627,0.392461997,0.016666667,0.016666667
773,0.033333333,0.025,0.75,0,0,1,0.238750454,0.394604048,0.016666667,0.016666667
782,0.025,0.016666667,0.666666667,0,0,1,0.188863352,0.390311883,0.025,0.025
820,0.016666667,0.016666667,0,0,0,1,0.000241926,0.000241926,0.025,0.025
905,0.008333333,0,0,0,0,1,0.000241926,0.000241926,0.008333333,0.008333333
956,0.008333333,0,0,0,0,1,0.000241926,0.000162292,0.008333333,0.008333333
1013,0.058333333,0.05,0,0,0,1,0.000241926,0.000241926,0.058333333,0.058333333
1056,0.016666667,0.008333333,0,0,0,1,0.000241926,0.000241926,0.016666667,0.016666667
1112,0.008333333,0,0,0,0,1,0.000241926,0.000241926,0.008333333,0.008333333
1123,0.008333333,0,0,0,1,0,0.186766663,0.392461997,0.008333333,0.008333333
1137,0.008333333,0,0,0,1,0,0.118543607,0.392461997,0.008333333,0.008333333
1155,0.008333333,0,0,0,1,0,0.305189307,0.392461997,0.008333333,0.008333333
1250,0.016666667,0.008333333,0,0,0,1,0.000241926,0.000241926,0.016666667,0.016666667
1295,0.008333333,0,0,0,0,1,0.000241926,0.000120963,0.008333333,0.008333333
1468,0.008333333,0,0,0,0,1,0.000241926,0.000179428,0.008333333,0.008333333
1475,0.025,0.016666667,0,0,1,0,0.205798153,0.392461997,0.025,0.025
1524,0.008333333,0,0,0,0,1,0.000241926,0.000241926,0.008333333,0.008333333
