Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
129,0.013559322,0.010169492,0,0,1,0,0.26177967,0.43137421,0.013559322,0.013559322
130,0.003389831,0,0,0,1,0,0.357150758,0.43137421,0.003389831,0.003389831
299,0.010169492,0.006779661,0,0,1,0,0.227666556,0.43137421,0.010169492,0.010169492
300,0.037288136,0.033898305,0.454545455,0.090909091,0.090909091,0.909090909,0.356949654,0.440491996,0.009322034,0.023728814
301,0.108474576,0.105084746,0.125,0.0625,0.1875,0.8125,0.301629383,0.448231878,0.021694915,0.050847458
302,0.081355932,0.111864407,0.25,0,0.208333333,0.791666667,0.262452531,0.021673394,0.012106538,0.023728814
303,0.098305085,0.101694915,0.137931034,0.103448276,0.172413793,0.827586207,0.290385943,0.44644454,0.019661017,0.06440678
471,0.016949153,0.013559322,0.4,0,0,1,0.364119013,0.435680769,0.016949153,0.016949153
472,0.094915254,0.111864407,0.178571429,0.071428571,0.178571429,0.821428571,0.294310048,0.340404448,0.01920904,0.054237288
473,0.101694915,0.105084746,0.166666667,0,0.3,0.7,0.289271098,0.444725816,0.018079096,0.040677966
474,0.027118644,0.027118644,0.5,0.125,0.125,0.875,0.206890831,0.433112056,0.006779661,0.010169492
475,0.020338983,0.118644068,0.333333333,0,0.333333333,0.666666667,0.307543413,0.43536207,0.006779661,0.013559322
642,0.111864407,0.108474576,0.272727273,0.03030303,0.181818182,0.818181818,0.239897035,0.435446431,0.011186441,0.030508475
643,0.027118644,0.023728814,0.25,0,0,1,0.359141688,0.325468347,0.013559322,0.023728814
644,0.115254237,0.111864407,0.176470588,0,0.205882353,0.794117647,0.296580285,0.167502095,0.016464891,0.047457627
645,0.06779661,0.074576271,0.25,0.05,0.4,0.6,0.281008738,0.439197704,0.01299435,0.030508475
646,0.101694915,0.098305085,0.166666667,0.033333333,0.333333333,0.666666667,0.302827858,0.342479739,0.016949153,0.037288136
647,0.027118644,0.040677966,0.25,0,0.25,0.75,0.388881208,0.437572715,0.013559322,0.020338983
765,0.094915254,0.091525424,0.25,0.035714286,0.178571429,0.821428571,0.274882677,0.049761632,0.011864407,0.027118644
766,0.003389831,0,0,0,1,0,0.422077204,0.43137421,0.003389831,0.003389831
767,0.013559322,0.010169492,0,0,1,0,0.147909523,0.43137421,0.013559322,0.013559322
768,0.071186441,0.06779661,0.285714286,0.142857143,0.285714286,0.714285714,0.257161818,0.439853848,0.011864407,0.023728814
769,0.044067797,0.061016949,0.230769231,0.153846154,0.230769231,0.769230769,0.311146657,0.336203247,0.021468927,0.040677966
770,0.074576271,0.071186441,0.181818182,0.090909091,0.181818182,0.818181818,0.325884104,0.44404605,0.024858757,0.057627119
771,0.003389831,0,0,0,1,0,0.08395089,0.43137421,0.003389831,0.003389831
772,0.044067797,0.772881356,0.153846154,0,0.461538462,0.538461538,0.206350557,0.003981485,0.247457627,0.705084746
773,0.044067797,0.050847458,0.153846154,0,0.769230769,0.230769231,0.244118673,0.434394725,0.022033898,0.033898305
774,0.027118644,0.050847458,0.25,0.125,0.5,0.5,0.319419865,0.433253034,0.015254237,0.016949153
775,0.013559322,0.010169492,0,0,1,0,0.143070457,0.43137421,0.013559322,0.013559322
776,0.057627119,0.061016949,0.352941176,0,0.117647059,0.882352941,0.295158656,0.440925801,0.008232446,0.023728814
778,0.061016949,0.057627119,0.277777778,0,0.333333333,0.666666667,0.266520419,0.437917659,0.01220339,0.020338983
779,0.023728814,0.020338983,0.571428571,0,0.142857143,0.857142857,0.337051843,0.435958599,0.005932203,0.010169492
780,0.003389831,0,0,0,1,0,0.186705011,0.43137421,0.003389831,0.003389831
815,0.003389831,0,0,0,1,0,0.376396416,0.43137421,0.003389831,0.003389831
816,0.098305085,0.094915254,0.206896552,0.137931034,0.172413793,0.827586207,0.287163077,0.444759186,0.016384181,0.06440678
817,0.057627119,0.071186441,0.176470588,0,0.235294118,0.764705882,0.343253284,0.44273826,0.01779661,0.037288136
818,0.013559322,0.471186441,0.5,0,0.25,0.75,0.107123106,0.106122579,0.004519774,0.006779661
819,0.128813559,0.125423729,0.315789474,0.026315789,0.078947368,0.921052632,0.284315894,0.444561592,0.011710324,0.047457627
874,0.040677966,0.040677966,0.333333333,0,0.416666667,0.583333333,0.325222136,0.434910268,0.013559322,0.020338983
880,0.016949153,0.027118644,0.4,0,0.2,0.8,0.291781883,0.434047156,0.008474576,0.013559322
882,0.013559322,0.016949153,0,0,1,0,0.156232718,0.43137421,0.020338983,0.020338983
885,0.040677966,0.057627119,0.25,0,0.25,0.75,0.345066917,0.438520938,0.010169492,0.023728814
902,0.003389831,0,0,0,1,0,0.290233381,0.43137421,0.003389831,0.003389831
