Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
31,0.025,0.0125,0,0,1,0,0.153077141,0.333137762,0.025,0.025
35,0.025,0.0125,0,0,0,1,0.000283607,0.000283607,0.025,0.025
61,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
135,0.025,0.0875,0,0,1,0,0.174702212,0.333137762,0.1,0.1
351,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
441,0.025,0.0125,0,0,0,1,0.000283607,0.000283607,0.025,0.025
543,0.125,0.1125,0,0,0,1,0.000283607,0.000283607,0.125,0.125
576,0.0375,0.025,0,0,0,1,0.000283607,0.000283607,0.0375,0.0375
681,0.025,0.0125,0,0,0.5,0.5,0.07536869,0.000283607,0.025,0.025
741,0.0375,0.025,0,0,0,1,0.000283607,0.000283607,0.0375,0.0375
769,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
786,0.05,0.0375,0,0,0,1,0.000283607,0.000283607,0.05,0.05
820,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
954,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
960,0.0875,0.125,0,0,0,1,0.000283607,0.000283607,0.1375,0.1375
1035,0.0375,0.025,0,0,0,1,0.000283607,0.00018789,0.0375,0.0375
1044,0.025,0.0125,0,0,0,1,0.000283607,0.000283607,0.025,0.025
1060,0.025,0.0125,0,0,0,1,0.000283607,0.000179027,0.025,0.025
1068,0.0375,0.025,0,0,0,1,0.000283607,0.000283607,0.0375,0.0375
1075,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
1114,0.0125,0,0,0,0,1,0.000283607,0.000141804,0.0125,0.0125
1179,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
1258,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
1270,0.0375,0.025,0,0,0,1,0.000283607,0.000175482,0.0375,0.0375
1280,0.025,0.0125,0,0,0,1,0.000283607,0.000283607,0.025,0.025
1363,0.025,0.0125,0,0,0,1,0.000283607,0.000283607,0.025,0.025
1380,0.0375,0.025,0,0,0,1,0.000283607,0.000283607,0.0375,0.0375
1392,0.125,0.1125,0,0,0,1,0.000283607,0.000283607,0.125,0.125
1397,0.05,0.05,0,0,0,1,0.000283607,0.000168392,0.0625,0.0625
1401,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
1456,0.025,0.1125,0,0,0,1,0.000283607,0.000283607,0.125,0.125
1538,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
1542,0.0625,0.075,0,0,0,1,0.000283607,0.000283607,0.0875,0.0875
1587,0.0375,0.025,0,0,0,1,0.000283607,0.00020207,0.0375,0.0375
1596,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
1771,0.0875,0.1,0,0,0,1,0.000283607,0.000283607,0.1125,0.1125
1776,0.075,0.0625,0,0,0,1,0.000283607,0.00017371,0.075,0.075
1868,0.0875,0.075,0,0,0,1,0.000283607,0.000283607,0.0875,0.0875
1897,0.025,0.0125,0,0,0,1,0.000283607,0.000283607,0.025,0.025
1962,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
2036,0.0125,0,0,0,0,1,0.000283607,0.000177255,0.0125,0.0125
2040,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
2041,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
2171,0.1,0.0875,0,0,0,1,0.000283607,0.000283607,0.1,0.1
2234,0.0875,0.1125,0,0,0,1,0.000283607,0.000191435,0.125,0.125
2239,0.025,0.0125,0,0,0.5,0.5,0.002410664,0.000498086,0.025,0.025
2275,0.0125,0,0,0,1,0,0.019143505,0.333137762,0.0125,0.0125
2291,0.025,0.0125,0,0,0,1,0.000283607,0.000283607,0.025,0.025
2308,0.0625,0.05,0,0,0,1,0.000283607,0.000283607,0.0625,0.0625
2314,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
2386,0.0125,0,0,0,0,1,0.000283607,0.000283607,0.0125,0.0125
2444,0.025,0.0125,0,0,1,0,0.192285876,0.333137762,0.025,0.025
