Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
38,0.022222222,0.011111111,0,0,1,0,0.181523125,0.366461883,0.022222222,0.022222222
76,0.022222222,0.011111111,0,0,0,1,0.00023183,0.00023183,0.022222222,0.022222222
205,0.055555556,0.077777778,0.4,0,0.4,0.6,0.312878173,0.374512834,0.018518519,0.033333333
211,0.044444444,0.055555556,0,0,0.5,0.5,0.163150574,0.00023183,0.066666667,0.066666667
240,0.011111111,0,0,0,1,0,0.299292918,0.366461883,0.011111111,0.011111111
250,0.011111111,0,0,0,0,1,0.00023183,0.00023183,0.011111111,0.011111111
272,0.077777778,0.1,0.142857143,0.142857143,0.428571429,0.571428571,0.264468695,0.159709182,0.055555556,0.055555556
284,0.066666667,0.055555556,0.333333333,0.166666667,0.166666667,0.833333333,0.285286504,0.375150368,0.066666667,0.066666667
296,0.044444444,0.044444444,0,0,0,1,0.00023183,0.00023183,0.055555556,0.055555556
328,0.011111111,0,0,0,0,1,0.00023183,0.00023183,0.011111111,0.011111111
414,0.011111111,0,0,0,0,1,0.00023183,0.00023183,0.011111111,0.011111111
451,0.022222222,0.011111111,0,0,0,1,0.00023183,0.000160993,0.022222222,0.022222222
475,0.011111111,0,0,0,0,1,0.00023183,0.000146826,0.011111111,0.011111111
519,0.011111111,0,0,0,0,1,0.00023183,0.00023183,0.011111111,0.011111111
546,0.255555556,0.288888889,0,0,0,1,0.00023183,0.00023183,0.3,0.3
604,0.011111111,0,0,0,1,0,0.179668483,0.366461883,0.011111111,0.011111111
720,0.011111111,0,0,0,0,1,0.00023183,0.00023183,0.011111111,0.011111111
956,0.011111111,0,0,0,0,1,0.00023183,0.00023183,0.011111111,0.011111111
1113,0.033333333,0.022222222,0,0,0,1,0.00023183,0.000136522,0.033333333,0.033333333
1145,0.011111111,0,0,0,0,1,0.00023183,0.00023183,0.011111111,0.011111111
1233,0.011111111,0,0,0,0,1,0.00023183,0.00023183,0.011111111,0.011111111
1241,0.011111111,0,0,0,0,1,0.00023183,0.00023183,0.011111111,0.011111111
1290,0.022222222,0.011111111,0,0,1,0,0.239364785,0.366461883,0.022222222,0.022222222
1291,0.044444444,0.033333333,0,0,0,1,0.00023183,0.000159705,0.044444444,0.044444444
1304,0.111111111,0.144444444,0,0,0,1,0.00023183,0.00023183,0.155555556,0.155555556
1337,0.066666667,0.055555556,0,0,0,1,0.00023183,0.00023183,0.066666667,0.066666667
1477,0.011111111,0,0,0,0,1,0.00023183,0.000115915,0.011111111,0.011111111
1545,0.011111111,0,0,0,0,1,0.00023183,0.00023183,0.011111111,0.011111111
1580,0.022222222,0.011111111,0,0,1,0,0.175147792,0.366461883,0.022222222,0.022222222
1635,0.022222222,0.011111111,0,0,0,1,0.00023183,0.00023183,0.022222222,0.022222222
