Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
24,0.0125,0,0,0,0,1,0.000250973,0.000250973,0.0125,0.0125
76,0.0125,0,0,0,1,0,0.314970511,0.31668183,0.0125,0.0125
86,0.05,0.0875,0,0,1,0,0.173767098,0.31668183,0.1,0.1
121,0.05,0.0375,0,0,1,0,0.095902874,0.31668183,0.05,0.05
122,0.075,0.0625,0.333333333,0,0.5,0.5,0.179779981,0.316079496,0.0375,0.0375
239,0.1125,0.5625,0.222222222,0,0,1,0.000557717,0.000280776,0.0875,0.1625
371,0.025,0.0125,0,0,0,1,0.000250973,0.000250973,0.025,0.025
414,0.0125,0,0,0,0,1,0.000250973,0.000125486,0.0125,0.0125
499,0.025,0.0125,0,0,1,0,0.210252227,0.31668183,0.025,0.025
520,0.0125,0,0,0,0,1,0.000250973,0.000250973,0.0125,0.0125
564,0.075,0.0625,0,0,0,1,0.000250973,0.000250973,0.075,0.075
578,0.125,0.1375,0,0,0,1,0.000250973,0.000250973,0.15,0.15
583,0.0125,0,0,0,0,1,0.000250973,0.000250973,0.0125,0.0125
585,0.0125,0,0,0,0,1,0.000250973,0.000125486,0.0125,0.0125
607,0.05,0.0375,0.5,0,0.25,0.75,0.194597817,0.187001192,0.025,0.025
663,0.05,0.0375,0,0,0,1,0.000250973,0.000250973,0.05,0.05
717,0.0125,0,0,0,0,1,0.000250973,0.000250973,0.0125,0.0125
732,0.0125,0,0,0,0,1,0.000250973,0.000250973,0.0125,0.0125
831,0.025,0.0125,0,0,0,1,0.000250973,0.000250973,0.025,0.025
842,0.0125,0,0,0,0,1,0.000250973,0.000144309,0.0125,0.0125
867,0.0375,0.05,0,0,0,1,0.000250973,0.000250973,0.0625,0.0625
969,0.0125,0,0,0,0,1,0.000250973,0.000250973,0.0125,0.0125
998,0.025,0.0125,0,0,1,0,0.234533819,0.31668183,0.025,0.025
1106,0.025,0.0125,0,0,1,0,0.245576609,0.31668183,0.025,0.025
1115,0.0125,0,0,0,0,1,0.000250973,0.000166269,0.0125,0.0125
1121,0.0375,0.025,0,0,0,1,0.000250973,0.000169406,0.0375,0.0375
1130,0.0125,0,0,0,0,1,0.000250973,0.000250973,0.0125,0.0125
1133,0.0375,0.025,0,0,0,1,0.000250973,0.000161564,0.0375,0.0375
1134,0.0125,0,0,0,0,1,0.000250973,0.000178818,0.0125,0.0125
1143,0.0125,0,0,0,0,1,0.000250973,0.000125486,0.0125,0.0125
