Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
21,0.015267176,0.007633588,0,0,0,1,0.000239091,0.000239091,0.015267176,0.015267176
59,0.030534351,0.022900763,0,0,0,1,0.000239091,0.000239091,0.030534351,0.030534351
62,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
80,0.038167939,0.038167939,0,0,0.6,0.4,0.146802152,0.007648189,0.045801527,0.045801527
87,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
89,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
90,0.030534351,0.030534351,0,0,1,0,0.140017932,0.361812897,0.038167939,0.038167939
98,0.022900763,0.022900763,0,0,0,1,0.000239091,0.000239091,0.030534351,0.030534351
105,0.061068702,0.053435115,0,0,0,1,0.000239091,0.000239091,0.061068702,0.061068702
120,0.030534351,0.022900763,0,0,0,1,0.000239091,0.000239091,0.030534351,0.030534351
134,0.030534351,0.099236641,0,0,0,1,0.000239091,0.000239091,0.106870229,0.106870229
180,0.015267176,0.007633588,0,0,0,1,0.000239091,0.000239091,0.015267176,0.015267176
231,0.030534351,0.282442748,0,0,0.25,0.75,0.000239091,0.000239091,0.290076336,0.290076336
238,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
239,0.007633588,0,0,0,1,0,0.150627615,0.361812897,0.007633588,0.007633588
248,0.053435115,0.045801527,0.285714286,0,0.285714286,0.714285714,0.164307062,0.362636029,0.017811705,0.038167939
250,0.022900763,0.022900763,0,0,1,0,0.182227535,0.361812897,0.030534351,0.030534351
261,0.015267176,0.007633588,0,0,1,0,0.188463837,0.361812897,0.015267176,0.015267176
271,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
297,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
422,0.114503817,0.13740458,0.333333333,0,0.4,0.6,0.208288504,0.367020893,0.024427481,0.038167939
426,0.015267176,0.007633588,0,0,1,0,0.14656306,0.361812897,0.015267176,0.015267176
427,0.007633588,0,0,0,1,0,0.157561267,0.361812897,0.007633588,0.007633588
429,0.007633588,0,0,0,0,1,0.000239091,0.000163349,0.007633588,0.007633588
431,0.114503817,0.106870229,0.133333333,0.066666667,0.6,0.4,0.09147639,0.218584341,0.038167939,0.045801527
441,0.076335878,0.076335878,0.3,0,0.5,0.5,0.148894202,0.209181294,0.027989822,0.053435115
448,0.030534351,0.022900763,0,0,0,1,0.000239091,0.000239091,0.030534351,0.030534351
457,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
507,0.015267176,0.007633588,0,0,0,1,0.000239091,0.000174299,0.015267176,0.015267176
511,0.015267176,0.007633588,0,0,0,1,0.000239091,0.000239091,0.015267176,0.015267176
555,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
561,0.022900763,0.015267176,0,0,0,1,0.000239091,0.000239091,0.022900763,0.022900763
600,0.015267176,0.007633588,0,0,1,0,0.143992827,0.361812897,0.015267176,0.015267176
601,0.106870229,0.099236641,0.285714286,0.142857143,0.285714286,0.714285714,0.19179404,0.364971277,0.021374046,0.06870229
603,0.007633588,0,0,0,1,0,0.079856545,0.361812897,0.007633588,0.007633588
605,0.045801527,0.114503817,0,0,0,1,0.000239091,0.000239091,0.122137405,0.122137405
606,0.061068702,0.167938931,0,0,1,0,0.155797968,0.361812897,0.175572519,0.175572519
608,0.015267176,0.007633588,0,0,1,0,0.195756127,0.361812897,0.015267176,0.015267176
649,0.022900763,0.015267176,0,0,0,1,0.000239091,0.000239091,0.022900763,0.022900763
668,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
736,0.045801527,0.038167939,0,0,0,1,0.000239091,0.000164261,0.045801527,0.045801527
743,0.030534351,0.022900763,0,0,0,1,0.000239091,0.000167912,0.030534351,0.030534351
757,0.038167939,0.030534351,0,0,0,1,0.000239091,0.000239091,0.038167939,0.038167939
772,0.015267176,0.007633588,0,0,1,0,0.12755529,0.361812897,0.015267176,0.015267176
775,0.076335878,0.106870229,0.1,0,0.5,0.5,0.103968918,0.000239091,0.053435115,0.083969466
777,0.007633588,0,0,0,1,0,0.174775852,0.361812897,0.007633588,0.007633588
778,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
780,0.061068702,0.106870229,0.5,0,0.25,0.75,0.196727436,0.364630891,0.049618321,0.06870229
790,0.007633588,0,0,0,1,0,0.013867304,0.361812897,0.007633588,0.007633588
811,0.007633588,0,0,0,0,1,0.000239091,0.000166999,0.007633588,0.007633588
817,0.007633588,0,0,0,0,1,0.000239091,0.000239091,0.007633588,0.007633588
818,0.022900763,0.015267176,0,0,0,1,0.000239091,0.000129584,0.022900763,0.022900763
899,0.007633588,0,0,0,0,1,0.000239091,0.000174299,0.007633588,0.007633588
921,0.007633588,0,0,0,0,1,0.000239091,0.000166999,0.007633588,0.007633588
925,0.015267176,0.007633588,0,0,1,0,0.189539749,0.361812897,0.015267176,0.015267176
955,0.015267176,0.007633588,0,0,1,0,0.15301853,0.361812897,0.015267176,0.015267176
963,0.007633588,0,0,0,1,0,0.125523013,0.361812897,0.007633588,0.007633588
964,0.007633588,0,0,0,1,0,0.146204423,0.361812897,0.007633588,0.007633588
979,0.022900763,0.015267176,0,0,0,1,0.000239091,0.000202589,0.022900763,0.022900763
988,0.06870229,0.061068702,0,0,0,1,0.000239091,0.000239091,0.06870229,0.06870229
