Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
13,0.1,0.083333333,0,0,0,1,0.000347041,0.000347041,0.1,0.1
200,0.033333333,0.016666667,0,0,0,1,0.000347041,0.000347041,0.033333333,0.033333333
210,0.033333333,0.016666667,0,0,0,1,0.000347041,0.000347041,0.033333333,0.033333333
211,0.066666667,0.05,0,0,0,1,0.000347041,0.000347041,0.066666667,0.066666667
257,0.1,0.116666667,0.166666667,0,0.166666667,0.833333333,0.006044306,0.000260281,0.058333333,0.083333333
430,0.016666667,0,0,0,0,1,0.000347041,0.000347041,0.016666667,0.016666667
518,0.016666667,0,0,0,0,1,0.000347041,0.000283417,0.016666667,0.016666667
634,0.033333333,0.016666667,0,0,0,1,0.000347041,0.000347041,0.033333333,0.033333333
719,0.066666667,0.05,0,0,0,1,0.000347041,0.000347041,0.066666667,0.066666667
759,0.083333333,0.083333333,0,0,0,1,0.000347041,0.000347041,0.1,0.1
781,0.033333333,0.016666667,0,0,0,1,0.000347041,0.000347041,0.033333333,0.033333333
794,0.05,0.033333333,0,0,0,1,0.000347041,0.000347041,0.05,0.05
800,0.033333333,0.016666667,0,0,0,1,0.000347041,0.000208225,0.033333333,0.033333333
909,0.05,0.033333333,0,0,0,1,0.000347041,0.000347041,0.05,0.05
979,0.033333333,0.016666667,0,0,0,1,0.000347041,0.000347041,0.033333333,0.033333333
1004,0.016666667,0,0,0,0,1,0.000347041,0.000347041,0.016666667,0.016666667
1059,0.016666667,0,0,0,0,1,0.000347041,0.000347041,0.016666667,0.016666667
1144,0.066666667,0.066666667,0,0,0,1,0.000433802,0.000399098,0.083333333,0.083333333
1146,0.033333333,0.016666667,0,0,0,1,0.000347041,0.000347041,0.033333333,0.033333333
1227,0.016666667,0,0,0,0,1,0.000347041,0.000347041,0.016666667,0.016666667
1279,0.016666667,0,0,0,0,1,0.000347041,0.000347041,0.016666667,0.016666667
1300,0.033333333,0.016666667,0,0,0,1,0.000347041,0.000266065,0.033333333,0.033333333
1318,0.05,0.033333333,0,0,0,1,0.000347041,0.000347041,0.05,0.05
1391,0.083333333,0.066666667,0,0,0,1,0.000347041,0.000347041,0.083333333,0.083333333
1414,0.033333333,0.016666667,0,0,0,1,0.000347041,0.000347041,0.033333333,0.033333333
