Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
30,0.0125,0,0,0,0,1,0.000286574,0.000223886,0.0125,0.0125
53,0.025,0.0125,0,0,0,1,0.000286574,0.000286574,0.025,0.025
107,0.0625,0.05,0,0,0,1,0.000286574,0.000286574,0.0625,0.0625
396,0.0125,0,0,0,1,0,0.000429861,0.30945336,0.0125,0.0125
408,0.075,0.0875,0,0,0,1,0.000286574,0.000286574,0.1,0.1
423,0.0125,0,0,0,0,1,0.000286574,0.000216722,0.0125,0.0125
428,0.1125,0.1,0,0,0,1,0.000286574,0.000286574,0.1125,0.1125
438,0.0125,0,0,0,1,0,0.108898123,0.30945336,0.0125,0.0125
589,0.0125,0,0,0,1,0,0.177102737,0.30945336,0.0125,0.0125
598,0.0125,0,0,0,1,0,0.144863161,0.30945336,0.0125,0.0125
695,0.0125,0,0,0,0,1,0.000286574,0.000286574,0.0125,0.0125
747,0.0125,0,0,0,0,1,0.000286574,0.000286574,0.0125,0.0125
761,0.0125,0,0,0,0,1,0.000286574,0.000143287,0.0125,0.0125
861,0.0375,0.025,0,0,0,1,0.000286574,0.000286574,0.0375,0.0375
932,0.025,0.0125,0,0,0,1,0.000286574,0.000286574,0.025,0.025
944,0.025,0.0125,0,0,0,1,0.000286574,0.000286574,0.025,0.025
951,0.0125,0,0,0,0,1,0.000286574,0.000143287,0.0125,0.0125
961,0.05,0.0625,0,0,0,1,0.000286574,0.000286574,0.075,0.075
1036,0.0125,0,0,0,0,1,0.000286574,0.000286574,0.0125,0.0125
1074,0.0125,0,0,0,0,1,0.000286574,0.000286574,0.0125,0.0125
1097,0.0125,0,0,0,0,1,0.046568276,0.003377991,0.0125,0.0125
1260,0.0125,0,0,0,0,1,0.000286574,0.000286574,0.0125,0.0125
1316,0.0125,0,0,0,0,1,0.000286574,0.000286574,0.0125,0.0125
1406,0.025,0.0125,0,0,0,1,0.000286574,0.000286574,0.025,0.025
1417,0.05,0.0375,0,0,0,1,0.000286574,0.000286574,0.05,0.05
1490,0.0375,0.1625,0,0,0.333333333,0.666666667,0.034962029,0.000286574,0.175,0.175
1567,0.025,0.0125,0,0,0,1,0.000286574,0.000286574,0.025,0.025
1569,0.025,0.0125,0,0,0,1,0.000286574,0.000205975,0.025,0.025
1760,0.0375,0.025,0,0,1,0,0.163729283,0.30945336,0.0375,0.0375
1951,0.1375,0.15,0,0,0,1,0.000286574,0.000286574,0.1625,0.1625
2089,0.0125,0,0,0,0,1,0.000286574,0.000286574,0.0125,0.0125
2135,0.0125,0,0,0,0,1,0.000286574,0.000286574,0.0125,0.0125
