Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
36,0.01,0,0,0,1,0,0.407346772,0.346067738,0.01,0.01
37,0.04,0.03,0,0,0,1,0.000204645,0.000204645,0.04,0.04
58,0.01,0,0,0,0,1,0.000204645,0.000204645,0.01,0.01
74,0.01,0,0,0,0,1,0.000204645,0.000204645,0.01,0.01
86,0.05,0.08,0,0,1,0,0.281940039,0.346067738,0.09,0.09
87,0.01,0,0,0,1,0,0.190217947,0.346067738,0.01,0.01
91,0.02,0.02,0,0,0,1,0.000204645,0.000124834,0.03,0.03
105,0.02,0.01,0,0,0,1,0.000204645,0.000204645,0.02,0.02
110,0.05,0.04,0.4,0.2,0.2,0.8,0.292847641,0.355709608,0.05,0.05
147,0.03,0.02,0,0,0,1,0.000204645,0.000204645,0.03,0.03
187,0.06,0.05,0,0,1,0,0.20931819,0.346067738,0.06,0.06
212,0.09,0.08,0,0,0,1,0.000204645,0.000204645,0.09,0.09
226,0.05,0.04,0.4,0,0.4,0.6,0.267246495,0.34967973,0.016666667,0.03
251,0.1,0.09,0,0,0,1,0.000204645,0.000204645,0.1,0.1
277,0.09,0.08,0,0,0,1,0.000204645,0.000204645,0.09,0.09
288,0.03,0.02,0,0,0,1,0.000204645,0.000204645,0.03,0.03
297,0.02,0.01,0,0,0,1,0.000204645,0.000141205,0.02,0.02
332,0.01,0,0,0,0,1,0.000204645,0.000204645,0.01,0.01
383,0.05,0.04,0,0,0,1,0.000204645,0.000144275,0.05,0.05
408,0.01,0,0,0,1,0,0.239537501,0.346067738,0.01,0.01
423,0.02,0.01,0,0,0,1,0.000204645,0.000204645,0.02,0.02
424,0.07,0.06,0,0,0,1,0.000204645,0.000134043,0.07,0.07
425,0.03,0.02,0,0,0,1,0.000204645,0.000204645,0.03,0.03
448,0.03,0.02,0,0,1,0,0.258092022,0.346067738,0.03,0.03
578,0.02,0.01,0,0,0,1,0.000204645,0.000138136,0.02,0.02
594,0.01,0,0,0,0,1,0.000204645,0.000121764,0.01,0.01
605,0.06,0.05,0,0,0,1,0.000204645,0.000204645,0.06,0.06
611,0.1,0.09,0,0,0,1,0.000204645,0.000204645,0.1,0.1
