Individual,observed,time.span,switching,absence,visiting,homing,avg.group.size,avg.comm.size,avg.stay,max.stay
9,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
62,0.02,0.06,0,0,1,0,0.159130089,0.378339743,0.07,0.07
66,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
69,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
110,0.01,0,0,0,0,1,0.000265217,0.000132608,0.01,0.01
203,0.01,0,0,0,0,1,0.000265217,0.000177695,0.01,0.01
259,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
280,0.01,0,0,0,1,0,0.179684392,0.378339743,0.01,0.01
366,0.03,0.03,0,0,0,1,0.000265217,0.000265217,0.04,0.04
399,0.01,0,0,0,0,1,0.000265217,0.000132608,0.01,0.01
481,0.01,0,0,0,0,1,0.000265217,0.000186978,0.01,0.01
503,0.22,0.21,0,0,0,1,0.000265217,0.000265217,0.22,0.22
529,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
539,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
592,0.03,0.02,0,0,0,1,0.000265217,0.000265217,0.03,0.03
624,0.04,0.03,0,0,0,1,0.000265217,0.000181674,0.04,0.04
649,0.01,0,0,0,1,0,0.190160456,0.378339743,0.01,0.01
650,0.07,0.07,0,0,0,1,0.000265217,0.000265217,0.08,0.08
788,0.04,0.03,0,0,0,1,0.000265217,0.000265217,0.04,0.04
839,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
942,0.01,0,0,0,1,0,0.137912744,0.378339743,0.01,0.01
946,0.05,0.04,0,0,0,1,0.000265217,0.000180347,0.05,0.05
959,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
988,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
1090,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
1106,0.04,0.09,0,0,0.5,0.5,0.082880255,0.000205543,0.1,0.1
1112,0.08,0.08,0,0,0,1,0.000265217,0.000265217,0.09,0.09
1124,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
1256,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
1295,0.01,0,0,0,0,1,0.000265217,0.000167087,0.01,0.01
1304,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
1314,0.03,0.02,0,0,0,1,0.000265217,0.000265217,0.03,0.03
1380,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
1403,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
1406,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
1461,0.02,0.01,0,0,0.5,0.5,0.014454316,0.001369845,0.02,0.02
1473,0.03,0.02,0,0,0,1,0.000265217,0.000265217,0.03,0.03
1480,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
1481,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
1532,0.05,0.04,0,0,0,1,0.000265217,0.000265217,0.05,0.05
1560,0.06,0.05,0,0,0,1,0.000265217,0.000173717,0.06,0.06
1620,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
1809,0.01,0,0,0,1,0,0.250232065,0.378339743,0.01,0.01
1894,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
1911,0.01,0,0,0,0,1,0.000265217,0.000132608,0.01,0.01
1914,0.11,0.15,0,0,0,1,0.000265217,0.000265217,0.16,0.16
1963,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
1974,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
1994,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
2003,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
2038,0.22,0.21,0,0,0,1,0.000265217,0.000265217,0.22,0.22
2039,0.01,0,0,0,0,1,0.000265217,0.000132608,0.01,0.01
2107,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
2155,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
2163,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
2214,0.01,0,0,0,1,0,0.057552049,0.378339743,0.01,0.01
2215,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
2268,0.02,0.01,0,0,0,1,0.000265217,0.000156478,0.02,0.02
2270,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
2284,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
2314,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
2323,0.05,0.04,0,0,0,1,0.000265217,0.000265217,0.05,0.05
2330,0.01,0,0,0,1,0,0.186049596,0.378339743,0.01,0.01
2357,0.02,0.02,0,0,0,1,0.000265217,0.000265217,0.03,0.03
2388,0.02,0.01,0,0,0,1,0.000265217,0.000184326,0.02,0.02
2413,0.03,0.02,0,0,0,1,0.000265217,0.000265217,0.03,0.03
2432,0.01,0,0,0,0,1,0.000265217,0.000132608,0.01,0.01
2452,0.04,0.03,0,0,0,1,0.000265217,0.000265217,0.04,0.04
2459,0.13,0.15,0,0,0,1,0.000265217,0.000265217,0.16,0.16
2474,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
2493,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
2538,0.17,0.16,0,0,0,1,0.000265217,0.000265217,0.17,0.17
2563,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
2694,0.02,0.01,0,0,0,1,0.000265217,0.000185652,0.02,0.02
2779,0.02,0.03,0,0,0,1,0.000265217,0.000265217,0.04,0.04
2786,0.02,0.01,0,0,0,1,0.000265217,0.000265217,0.02,0.02
2787,0.01,0,0,0,1,0,0.062325951,0.378339743,0.01,0.01
2832,0.02,0.02,0,0,0,1,0.000265217,0.000265217,0.03,0.03
2880,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
2903,0.02,0.01,0,0,0,1,0.000265217,0.000176369,0.02,0.02
3000,0.01,0,0,0,0,1,0.000265217,0.000265217,0.01,0.01
